Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
XR028G,1,Benzine,4.10,4.80,5.90,108,,67,69,6,715/2007*2017/1347AG,,,,92.00,,,3750,1.43,131,,5.90,,,,,,,,,,,
ZV519L,1,Benzine,4.20,5.00,6.40,113,,69,69,6,715/2007*2017/1347AG,,,,85.00,,,3750,0.25,130,,5.80,,,,,,,,,,,
H555RK,2,Benzine,4.70,5.60,7.10,127,,66,72,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.19,154,,6.80,,,,,,,,,,,
G349DD,1,Benzine,4.10,4.80,6.10,110,,70,72,6,715/2007*2017/1347AG,,,,59.00,,,3750,,131,,5.80,,,,,,,,,,,
ZD059F,2,LPG,7.50,8.50,10.40,139,,,,6,,,,,80.00,,,,,163,,10.10,,,,,,,,,,,
XT666R,2,Benzine,,,,,71.00000,70,72,6,715/2007*2017/1347AG,,,,221.00,,,3750,0.26,,80,11.20,3.50,,,,,,,,,,OVC-HEV
H551BR,1,Benzine,3.60,4.10,5.00,94,,65,75,6,715/2007*2018/1832DG,,,,69.90,,,3750,0.36,115,,5.10,,,,,,,,,,,
G657KH,1,Benzine,4.60,5.20,6.20,118,,65,75,6,715/2007*2018/1832AP,,,,132.00,,,3750,0.17,146,,6.50,,,,,,,,,,,NOVC-HEV
G822GK,1,Benzine,5.10,5.80,7.10,133,,67,74,6,715/2007*2018/1832DG,,,,103.00,,,3750,0.31,151,,6.70,,,,,,,,,,,
XG414K,1,Diesel,3.50,4.10,5.10,107,,66,72,6,715/2007*2017/1347AG,,0.00031,,81.00,,0.51,2625,,126,,4.80,,,,,,,,,,,
ZP019L,1,Benzine,4.40,5.00,6.10,114,,69,78,6,715/2007*2018/1832DG,,,,62.50,,,3750,,133,,5.90,,,,,,,,,,,
G084SN,1,Elektriciteit,,,,,,,,Z,,,,,,158.00,,,,,,,,251.51,372,420,,,,,,300.00,
XV533T,1,Benzine,6.40,7.30,8.70,166,,67,76,6,715/2007*2017/1347BG,,,,135.00,,,3750,,213,,9.40,9.40,,,,,,,,,,
VFR07P,1,Diesel,4.10,4.30,4.60,114,,69,74,6,715/2007*2018/1832AN,,,,96.00,,0.51,2813,0.59,150,,5.70,,,,,,,,,,,
VDN30Z,1,Diesel,5.30,6.20,7.80,164,,71,75,6,715/2007*2017/1347AF,,,,70.00,,0.52,2625,0.44,193,,7.40,,,,,,,,,,,
XR994K,1,Diesel,4.70,5.00,5.50,131,,69,70,6,715/2007*2017/1347AG,,0.00045,,110.00,,0.50,2375,0.45,163,,6.20,,,,,,,,,,,
G559HH,1,Benzine,5.30,5.90,7.00,134,,70,76,6,715/2007*2018/1832DG,,,,135.00,,,3750,0.27,173,,7.60,,,,,,,,,,,
G373JR,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,110,,4.90,,,,,,,,,,,NOVC-HEV
ZN024R,1,Benzine,3.40,3.70,4.30,85,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,110,,4.90,,,,,,,,,,,
G899HT,1,Benzine,,,,143,,70,72,6,715/2007*2017/1347AG,,,,92.00,,,3750,0.68,174,,,,,,,,,,,,,
ZN629S,1,Benzine,4.20,4.70,5.60,108,,69,75,6,715/2007*2017/1347AG,,,,61.00,,,3750,,129,,5.70,,,,,,,,,,,
G321PN,1,Benzine,4.80,5.50,6.60,125,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.20,148,,6.50,,,,,,,,,,,
G358KJ,1,Benzine,,,,,55.00000,68,81,6,715/2007*2018/1832DG,,,,100.00,,,3300,0.29,,67,,3.00,,,,,,,,,,OVC-HEV
ZF762K,1,Benzine,5.10,6.00,7.50,136,,69,74,6,715/2007*2017/1347AG,,,,103.00,,,3750,0.16,150,,6.60,,,,,,,,,,,
XX909R,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
G393PT,1,Benzine,4.30,4.60,5.20,105,,65,72,6,715/2007*2018/1832AP,,,,132.00,,,3200,0.18,133,,5.90,,,,,,,,,,,NOVC-HEV
ZG989D,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2017/1347AG,,,,77.20,,,3750,0.20,110,,4.80,,,,,,,,,,,NOVC-HEV
G904BN,1,Benzine,4.40,4.80,5.50,108,,66,74,6,715/2007*2017/1347AG,,,,85.00,,,3750,0.07,129,,5.70,,,,,,,,,,,
ZD903X,1,Benzine,4.70,5.60,7.00,129,,68,70,6,715/2007*2017/1347BG,,,,90.00,,,3750,0.34,156,,6.90,,,,,,,,,,,
H681LS,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
G766JX,1,Benzine,4.50,5.20,6.20,119,,71,74,6,715/2007*2018/1832DG,,,,88.30,,,3750,0.23,134,,5.90,,,,,,,,,,,
XV509R,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
H872DF,1,Elektriciteit,,,,,,,,,,,,,,9.40,,,,,,,,,,,,,,,9.10,12.30,NOVC-HEV
ZK765P,1,Benzine,4.60,5.10,6.10,117,,69,72,6,715/2007*2017/1347AG,,0.00059,,96.00,,,3750,,146,,6.50,,,,,,,,,,,
G495RJ,1,Benzine,3.50,3.80,4.30,86,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,111,,4.90,,,,,,,,,,,
SB955B,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
XG951P,1,Benzine,4.10,4.70,5.80,107,,67,69,6,715/2007*2017/1347AG,,,,74.00,,,3750,1.43,126,,5.60,,,,,,,,,,,
VFJ61X,1,Diesel,8.00,8.00,8.00,212,,73,81,6,715/2007*2017/1347AF,,,,105.00,,0.50,2850,2.28,234,,8.90,,,,,,,,,,,
XR982K,1,Benzine,4.10,4.60,5.40,105,,70,73,6,715/2007*2017/1347AG,,0.00011,,70.00,,,3750,0.11,128,,5.60,,,,,,,,,,,
H221NS,1,Benzine,4.50,5.30,6.60,120,,67,74,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.00,149,,6.50,,,,,,,,,,,
H432DP,1,Benzine,3.80,4.20,4.80,95,,71,76,6,715/2007*2018/1832AM,,,,53.00,,,3750,,118,,5.20,,,,,,,,,,,
H486DN,1,Diesel,3.70,4.00,4.40,104,,67,71,6,715/2007*2018/1832DG,,,,88.00,,0.50,2700,0.60,127,,4.90,,,,,,,,,,,
G841VK,2,Benzine,5.80,5.90,6.00,134,,70,73,6,715/2007*2018/1832DG,,,,193.00,,,2500,1.00,179,,7.90,,,,,,,,,,,NOVC-HEV
XZ817J,1,Benzine,4.10,4.80,6.10,110,,70,72,6,715/2007*2017/1347AG,,,,59.00,,,3750,,131,,5.80,,,,,,,,,,,
TB614S,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154*AD,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
G879GL,1,Benzine,5.10,5.60,6.40,127,,70,73,6,"715/2007*EU 2018/1832 DG",,,,129.00,,,3750,0.16,158,,7.00,,,,,,,,,,,
G521XV,1,Benzine,5.30,6.50,8.70,149,,68,73,6,715/2007*2018/1832AM,,,,184.00,,,3750,0.21,177,,7.80,,,,,,,,,,,NOVC-HEV
VDT16S,1,Diesel,7.00,6.70,6.30,178,,71,81,6,715/2007*2018/1832CI,,,,132.00,,0.38,2625,0.24,254,,9.70,,,,,,,,,,,
XN541R,1,Benzine,4.30,4.80,5.50,108,,64,72,6,715/2007*2017/1347AG,,0.00012,,85.00,,,3750,0.12,127,,5.60,,,,,,,,,,,
H007BL,1,Benzine,4.70,5.20,6.10,119,,67,70,6,715/2007*2018/1832DG,,,,96.00,,,3750,0.59,151,,6.70,,,,,,,,,,,
H232BZ,1,Elektriciteit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,
G057ZN,1,Benzine,4.10,4.40,4.90,101,,70,77,6,715/2007*2018/1832DG,,,,49.30,,,3750,0.00,118,,5.20,,,,,,,,,,,
SK327T,1,Benzine,3.70,4.50,5.90,105,,70,76,6,715/2007*2015/45W,,0.00081,,66.00,,,3750,0.81,,,,,,,,,,,,,,
ZJ840S,1,Diesel,3.70,4.00,4.40,104,,68,76,6,715/2007*2018/1832DG,,0.00073,,88.00,,0.51,2813,,136,,5.20,,,,,,,,,,,
H339PV,1,Benzine,4.00,4.50,5.30,103,,67,74,6,715/2007*2018/1832AM,,,,96.00,,,3750,0.35,132,,5.80,,,,,,,,,,,
TZ103F,1,Benzine,5.70,6.80,8.60,157,,68,72,6,715/2007*2017/1347AG,,,,184.00,,,3750,0.18,174,,7.70,,,,,,,,,,,
G567RB,1,Benzine,3.40,3.70,4.30,85,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,110,,4.90,,,,,,,,,,,
XR980R,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2017/1347AG,,,,77.20,,,3750,0.20,111,,4.90,,,,,,,,,,,NOVC-HEV
XL997H,1,Benzine,3.80,4.50,5.80,104,,67,73,6,715/2007*2017/1347AG,,,,81.00,,,3750,0.62,131,,5.80,,,,,,,,,,,
G756KK,2,Benzine,4.60,5.50,7.10,126,,66,72,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.19,150,,6.60,,,,,,,,,,,NOVC-HEV
G719HP,1,Benzine,5.30,5.90,7.00,135,,67,67,6,715/2007*2018/1832DG,,,,117.00,,,2565,0.44,153,,6.80,,,,,,,,,,,
G055RJ,1,Benzine,4.60,5.20,6.20,118,,65,75,6,715/2007*2018/1832AP,,,,132.00,,,3750,0.17,146,,6.50,,,,,,,,,,,NOVC-HEV
ZH672J,1,Benzine,4.10,4.90,6.10,112,,68,74,6,715/2007*2017/1347AG,,,,81.00,,,3750,0.97,146,,6.50,,,,,,,,,,,
XN240Z,1,Benzine,4.70,5.20,6.20,120,,70,73,6,715/2007*2017/1347AG,,,,88.30,,,3750,1.39,135,,5.90,,,,,,,,,,,
H502PK,1,Diesel,7.60,8.30,9.60,219,,73,85,6,715/2007*2018/1832CI,,,,118.00,,0.52,2625,1.33,327,,12.50,,,,,,,,,,,
SN900R,1,Benzine,4.90,5.80,7.30,136,,71,81,6,715/2007*2015/45W,,0.00210,,88.00,,,3750,2.10,,,,,,,,,,,,,,
TT517S,2,Benzine,4.00,3.80,3.40,86,,67,68,6,"715/2007*EU 2017/1154 AG",,,,72.00,,,2500,,112,,4.90,,,,,,,,,,,NOVC-HEV
G459HX,1,Benzine,3.40,3.70,4.30,85,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,110,,4.90,,,,,,,,,,,
G917GV,1,Elektriciteit,,,,,,,,Z,,,,,,158.00,,,,,,,,248.82,376,424,,,,,,300.00,
VFK77P,1,Diesel,5.10,5.50,6.20,145,,70,81,6,715/2007*2018/1832AO,,,,130.00,,0.51,2813,0.26,195,,7.40,,,,,,,,,,,
H317KK,1,Benzine,5.30,6.10,7.40,139,,69,77,6,715/2007*2018/1832DG,,,,96.00,,,3750,0.22,162,,7.20,,,,,,,,,,,
G587BL,1,Benzine,4.70,5.50,6.90,126,,65,72,6,715/2007*2018/1832DG,,0.00022,,121.00,,,3750,,148,,6.50,,,,,,,,,,,
ZT323D,1,Benzine,4.10,4.70,5.80,107,,66,76,6,715/2007*2017/1347AG,,,,81.00,,,3750,0.62,135,,6.00,,,,,,,,,,,
XG099B,1,Benzine,4.60,5.10,6.00,116,,71,74,6,715/2007*2017/1347AG,,,,96.00,,,3750,1.20,155,,6.90,,,,,,,,,,,
H320NZ,1,Benzine,,,,112,,66,76,6,715/2007*2017/1347AG,,,,85.00,,,3750,0.19,138,,6.10,,,,,,,,,,,
VFH57R,1,Diesel,3.90,4.20,4.70,111,,68,72,6,715/2007*2018/1832CH,,,,56.00,,0.51,2625,1.51,148,,5.60,,,,,,,,,,,
XG987B,1,Diesel,4.00,4.60,5.70,121,,70,74,6,715/2007*2017/1347AG,,0.00040,,100.00,,0.50,3000,,140,,5.40,,,,,,,,,,,
SK891F,1,Diesel,4.10,4.50,5.20,119,,69,74,6,715/2007*2017/1347AD,,,,110.00,,0.51,3000,,146,,5.60,5.60,,,,,,,,,,
H579GG,1,Benzine,,,,130,,69,72,6,715/2007*2018/1832DG,,,,73.50,,,3750,0.29,155,,,,,,,,,,,,,
VDN46P,1,Diesel,4.60,5.10,6.10,135,,73,72,6,715/2007*2018/1832CH,,,,55.00,,0.52,2375,,153,,5.83,,,,,,,,,,,
G297DJ,1,Benzine,5.80,6.90,8.70,156,,66,74,6,715/2007*2017/1347AG,,,,88.00,,,3750,0.50,173,,7.60,,,,,,,,,,,
ZN095L,1,Benzine,4.90,5.60,6.90,128,,66,76,6,715/2007*2017/1347AG,,0.00018,,96.00,,,3750,0.18,154,,6.80,,,,,,,,,,,
ZN909Z,1,Benzine,3.90,4.50,5.60,104,,67,75,6,715/2007*2017/1347AG,,,,74.00,,,3750,,129,,5.70,,,,,,,,,,,
VDF43N,1,Diesel,5.10,5.50,6.30,146,,70,83,6,715/2007*2018/1832AN,,0.00085,,90.00,,0.51,2813,,195,,7.40,,,,,,,,,,,
H635DS,2,Benzine,4.60,4.30,3.80,99,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,119,,5.20,,,,,,,,,,,NOVC-HEV
G281DF,1,Benzine,5.20,5.80,6.80,131,,66,69,6,715/2007*2017/1347AG,,,,92.00,,,3750,0.61,158,,7.00,,,,,,,,,,,
H486FZ,1,Benzine,5.00,6.00,7.00,130,,65,78,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.30,158,,7.00,,,,,,,,,,,
ZB634V,1,Benzine,4.70,5.30,6.30,120,,69,70,6,715/2007*2017/1347AG,,0.00088,,85.00,,,3750,0.88,146,,6.40,,,,,,,,,,,
XX547T,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
TZ864G,1,Benzine,4.10,4.70,5.80,107,,67,69,6,715/2007*2017/1347AG,,,,74.00,,,3750,1.43,126,,5.60,,,,,,,,,,,
H277DS,2,Benzine,4.60,4.30,3.90,100,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,119,,5.20,,,,,,,,,,,NOVC-HEV
TZ310R,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,111,,4.90,,,,,,,,,,,
G566PK,1,Benzine,5.10,5.80,6.90,131,,71,76,6,715/2007*2017/1347AG,,,,103.00,,,3750,0.35,146,,6.50,,,,,,,,,,,
ZS768S,1,Diesel,4.10,4.40,4.90,116,,67,71,6,715/2007*2017/1347AG,,,,88.00,,0.50,2700,0.41,141,,5.40,,,,,,,,,,,
G042RJ,1,Benzine,4.30,4.60,5.20,105,,65,72,6,715/2007*2018/1832AP,,,,132.00,,,3200,0.18,133,,5.90,,,,,,,,,,,NOVC-HEV
VBT33J,1,Diesel,,8.00,,210,,70,76,6,715/2007*2017/1347AD,,,,190.00,,0.49,2550,2.52,237,,9.00,,,,,,,,,,,
ZR521Z,1,Benzine,4.50,4.90,5.60,112,,68,72,6,715/2007*2017/1347AG,,,,85.00,,,3800,0.19,140,,6.20,,,,,,,,,,,
TX664H,1,Benzine,5.20,6.20,7.60,140,,70,72,6,715/2007*2017/1347AG,,,,92.00,,,3750,0.68,165,,7.30,,,,,,,,,,,
ZR010T,1,Benzine,4.70,5.30,6.20,119,,70,72,6,715/2007*2018/1832DG,,,,92.00,,,3750,0.34,146,,6.50,,,,,,,,,,,
ZB806R,2,Benzine,4.60,4.40,4.50,101,,69,70,6,"715/2007*EU 2018/1832 DG",,,,131.00,,,2500,0.15,131,,5.80,,,,,,,,,,,NOVC-HEV
G025XL,1,Benzine,4.00,4.60,5.60,105,,67,75,6,715/2007*2018/1832DG,,,,74.00,,,3750,,132,,5.80,,,,,,,,,,,
G926LZ,1,Benzine,5.20,5.90,6.90,134,,67,77,6,715/2007*2018/1832DG,,,,96.00,,,3750,0.00,152,,6.70,,,,,,,,,,,
VDR99N,1,Diesel,5.70,6.60,8.20,175,,75,78,6,715/2007*2017/1347AF,,,,100.00,,0.53,2850,0.61,184,,7.00,,,,,,,,,,,
H211LX,1,Benzine,5.70,6.80,8.60,154,,69,73,6,715/2007*2018/1832DG,,,,155.00,,,3750,0.18,172,,7.60,,,,,,,,,,,
TZ387S,1,Benzine,4.40,4.80,5.40,109,,67,76,6,715/2007*2017/1347AG,,,,81.00,,,3750,1.32,143,,6.40,,,,,,,,,,,
TR658H,1,Benzine,5.90,6.60,7.80,150,,67,78,6,715/2007*2017/1347AG,,0.00030,,121.00,,,3750,0.30,173,,7.70,,,,,,,,,,,
TV416F,1,Benzine,4.70,5.10,5.80,117,,68,73,6,715/2007*2017/1347AG,,0.00010,,85.00,,,3750,0.10,141,,6.20,,,,,,,,,,,
XL921S,1,Benzine,4.20,4.70,5.60,108,,69,75,6,715/2007*2017/1347AG,,,,61.00,,,3750,,128,,5.70,,,,,,,,,,,
TZ907T,1,Benzine,4.20,4.90,6.00,111,,65,74,6,715/2007*2017/1347AG,,0.00007,,85.00,,,3750,0.07,126,,5.60,,,,,,,,,,,
H322BV,1,Benzine,3.60,4.10,4.80,93,,68,74,6,715/2007*2018/1832AM,,,,55.00,,,3750,,123,,5.40,,,,,,,,,,,
G159HF,1,Diesel,3.70,4.00,4.60,105,,69,73,6,715/2007*2017/1347BG,,,,96.00,,0.51,2620,0.42,139,,5.30,,,,,,,,,,,
G689LK,1,Benzine,3.50,3.80,4.30,86,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,111,,4.90,,,,,,,,,,,
XB341G,1,Benzine,3.80,4.20,4.80,95,,70,76,6,715/2007*2017/1347AG,,,,44.00,,,3750,,117,,5.20,,,,,,,,,,,
XJ020S,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
ST803G,1,Elektriciteit,,,,,,,,Z,,,,,,24.00,,,,,,,,,,,,,,,23.70,105.00,NOVC-HEV
PH575D,1,Elektriciteit,,,,,,,,Z,,,,,,18.00,,,,,,,,,,,,,,,17.70,60.00,NOVC-HEV
VFG19F,1,Diesel,,6.60,,173,,70,75,6,715/2007*2018/1832CI,,,,95.60,,0.50,2625,0.98,229,,8.70,,,,,,,,,,,
H837GL,1,Benzine,4.10,4.40,4.90,101,,70,77,6,715/2007*2018/1832DG,,,,49.30,,,3750,0.00,117,,5.20,,,,,,,,,,,
XJ578J,1,Benzine,6.80,7.60,8.90,174,,73,75,6,715/2007*2017/1347AG,,,,130.00,,,3750,0.33,200,,8.80,,,,,,,,,,,
G746PS,2,Diesel,3.70,4.00,4.50,104,,68,74,6,715/2007*2018/1832DG,,,,120.00,,0.28,3150,0.38,133,,5.10,,,,,,,,,,,NOVC-HEV
G135ZL,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,158.00,,,,,,,,247.93,300,335,,,,,,230.00,
G883DG,1,Benzine,4.10,4.80,6.10,110,,70,72,6,715/2007*2017/1347AG,,,,59.00,,,3750,,131,,5.80,,,,,,,,,,,
G441NG,1,Benzine,4.10,4.80,5.80,109,,67,76,6,715/2007*2018/1832AM,,0.00152,,81.00,,,3750,,139,,6.10,,,,,,,,,,,
G598KS,1,Benzine,,,,127,,67,72,6,715/2007*2017/1347AG,,,,120.00,,,3750,0.15,146,,,,,,,,,,,,,
G527XG,1,Benzine,4.40,5.10,6.20,115,,70,73,6,715/2007*2018/1832DG,,,,88.30,,,3750,0.53,129,,5.60,,,,,,,,,,,
ZH012B,1,Benzine,4.50,5.00,5.80,114,,69,74,6,715/2007*2017/1347AG,,,,61.00,,,3750,,138,,6.10,,,,,,,,,,,
XR729T,2,Benzine,3.80,3.60,3.50,83,,67,67,6,"715/2007*EU 2017/1347 AG",,,,72.00,,,2500,,112,,4.90,,,,,,,,,,,NOVC-HEV
G007FK,2,Benzine,4.60,4.30,3.90,99,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,119,,5.30,,,,,,,,,,,NOVC-HEV
TX953P,1,Benzine,3.80,4.20,4.80,95,,70,76,6,715/2007*2017/1347AG,,,,44.00,,,3750,,117,,5.20,,,,,,,,,,,
G590JG,1,Benzine,,,,131,,69,72,6,715/2007*2017/1347AG,,,,117.00,,,3750,0.91,163,,,,,,,,,,,,,
SJ654V,1,Elektriciteit,,,,,,,,Z,,,,,,0.38,,,,,,,,,,,,,,,0.30,1.90,NOVC-HEV
V978TD,1,Diesel,4.30,4.50,4.90,118,,69,73,6,715/2007*2017/1347AH,,,,55.20,,0.50,2700,0.24,145,,5.50,,,,,,,,,,,
ZH412K,1,Benzine,5.00,5.50,6.40,126,,67,78,6,715/2007*2017/1347AG,,0.00022,,110.00,,,3750,0.22,155,,6.80,,,,,,,,,,,
XB771X,1,Benzine,4.30,5.10,6.40,115,,70,75,6,715/2007*2017/1347AG,,,,51.50,,,3750,,131,,5.90,,,,,,,,,,,
ZK758B,1,Benzine,4.80,5.20,6.10,120,,69,72,6,715/2007*2017/1347AG,,0.00059,,96.00,,,3750,,151,,6.70,,,,,,,,,,,
G026RT,1,Benzine,4.20,4.70,5.60,108,,69,75,6,715/2007*2018/1832DG,,,,61.00,,,3750,,129,,5.70,,,,,,,,,,,
H583RK,2,Benzine,4.10,4.30,4.70,98,,70,77,6,715/2007*2018/1832DG,,,,66.00,,,3750,,117,,5.20,,,,,,,,,,,NOVC-HEV
XT927F,1,Benzine,4.90,5.80,7.30,131,,69,72,6,715/2007*2017/1347AG,,,,117.00,,,3750,,161,,7.10,,,,,,,,,,,
G298TD,1,Benzine,4.00,4.60,5.70,105,,69,73,6,715/2007*2018/1832DG,,,,70.00,,,3750,0.00,127,,5.60,,,,,,,,,,,
ZL863H,1,Benzine,4.20,4.60,5.30,105,,67,76,6,715/2007*2017/1347AG,,0.00132,,81.00,,,3750,,137,,6.10,,,,,,,,,,,
H961LJ,1,Benzine,,5.70,,132,,69,74,6,715/2007*2017/1347AG,,,,165.00,,,3750,0.57,168,,7.40,,,,,,,,,,,
H829GK,1,Benzine,3.60,4.10,5.00,94,,65,75,6,715/2007*2018/1832DG,,,,69.90,,,3750,0.36,115,,5.10,,,,,,,,,,,
G278PV,1,Benzine,4.80,5.60,6.90,127,,72,89,6,715/2007*2018/1832DG,,,,103.00,,,3750,0.48,138,,6.10,,,,,,,,,,,
G755LJ,1,Benzine,5.80,6.60,7.80,151,,69,75,6,715/2007*2018/1832DG,,,,130.00,,,3750,0.47,178,,7.80,,,,,,,,,,,
H165RX,2,Benzine,3.60,3.70,3.50,84,,73,74,6,715/2007*2018/1832AM,,,,54.00,,,2500,,108,,4.80,,,,,,,,,,,NOVC-HEV
G603GK,2,Benzine,3.80,3.60,3.50,83,,67,67,6,715/2007*2018/1832DG,,,,72.00,,,2500,,112,,4.90,,,,,,,,,,,NOVC-HEV
G763KV,1,Benzine,5.50,6.30,7.60,144,,69,77,6,715/2007*2018/1832DG,,,,90.00,,,3750,0.34,167,,7.40,,,,,,,,,,,
TX268V,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
ZK963V,1,Diesel,3.50,3.90,4.40,101,,69,72,6,715/2007*2017/1347BG,,,,96.00,,,2813,0.61,132,,5.00,,,,,,,,,,,
ZL903T,1,Benzine,4.40,5.10,6.20,114,,67,69,6,715/2007*2017/1347AG,,,,92.00,,,3750,1.43,139,,6.20,,,,,,,,,,,
ZR492T,1,Benzine,4.60,5.40,6.80,124,,67,72,6,715/2007*2017/1347AG,,,,120.00,,,3750,0.15,140,,6.30,,,,,,,,,,,
ZV785R,1,Benzine,3.50,3.80,4.30,86,,69,76,6,"715/2007*EU 2018/1832 DG",,,,53.00,,,3750,,110,,4.90,,,,,,,,,,,
G950PX,1,Benzine,,,,109,,67,76,6,715/2007*2017/1347AG,,,,81.00,,,3750,1.32,143,,,,,,,,,,,,,
H345GZ,1,Benzine,4.60,5.30,6.60,121,,68,75,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.00,157,,6.90,,,,,,,,,,,
H024NJ,1,Benzine,,,,112,,71,74,6,715/2007*2018/1832AM,,,,96.00,,,3750,0.77,151,,,,,,,,,,,,,
TL600S,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154*AD,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
XN215J,1,Benzine,4.80,5.40,6.30,122,,72,80,6,715/2007*2017/1347AD,,,,66.00,,,3750,,139,,6.20,,,,,,,,,,,
XL048P,1,Benzine,4.90,5.60,6.80,127,,68,77,6,715/2007*2017/1347AG,,0.00007,,110.00,,,3800,0.07,161,,7.10,,,,,,,,,,,
G048ZB,1,Benzine,4.20,5.00,6.40,113,,69,69,6,715/2007*2018/1832DG,,,,85.00,,,3750,0.67,129,,5.70,,,,,,,,,,,
XG480N,1,Benzine,4.20,4.70,4.90,106,,68,73,6,715/2007*2017/1347AG,,0.00012,,85.00,,,3750,0.12,127,,5.60,,,,,,,,,,,
XN085D,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2017/1347AG,,,,77.20,,,3750,0.20,111,,4.90,,,,,,,,,,,NOVC-HEV
H166FB,1,Benzine,6.00,7.00,9.00,162,,68,71,6,715/2007*2017/1347AG,,,,148.00,,,3375,0.35,187,,8.20,,,,,,,,,,,
XR917Z,1,Benzine,5.00,5.70,7.10,130,,66,76,6,715/2007*2017/1347AG,,0.00018,,96.00,,,3750,0.18,158,,7.00,,,,,,,,,,,
H660HV,1,Benzine,4.50,5.30,6.70,122,,65,72,6,715/2007*2018/1832DG,,0.00045,,121.00,,,3750,,140,,6.20,,,,,,,,,,,
TK596D,1,Elektriciteit,,,,,,,,Z,,,,,,48.00,,,,,,,,,,,,,,,47.10,105.00,NOVC-HEV
XZ935N,1,Benzine,4.80,5.30,6.10,121,,67,70,6,715/2007*2017/1347AG,,,,96.00,,,3750,0.59,156,,6.90,,,,,,,,,,,
ZN881K,1,Benzine,4.70,5.60,7.20,129,,70,74,6,715/2007*2018/1832DG,,,,100.00,,,3750,0.29,147,,6.50,,,,,,,,,,,
G596DX,1,Benzine,4.20,4.70,5.60,108,,69,75,6,715/2007*2018/1832DG,,,,61.00,,,3750,,129,,5.70,,,,,,,,,,,
XS043T,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,111,,4.90,,,,,,,,,,,
